Year,Month,Intent,Police,Sex,Age,Race,Hispanic,Place,Education
2012,1,Suicide,0,M,34.0,Asian/Pacific Islander,100,Home,4.0
2012,1,Suicide,0,F,21.0,White,100,Street,3.0
2012,1,Suicide,0,M,60.0,White,100,Other specified,4.0
2012,1,Suicide,0,M,21.0,Native American/Native Alaskan,100,Home,2.0
2012,1,Suicide,0,F,59.0,White,100,Home,2.0
2012,1,Suicide,0,F,30.0,White,100,Other unspecified,4.0
2012,1,Homicide,0,M,58.0,Black,100,Home,1.0
2012,1,Suicide,0,M,78.0,White,100,Home,4.0
2012,1,Suicide,0,M,60.0,White,100,Other unspecified,1.0
2012,1,Accidental,0,M,61.0,White,100,Home,2.0
2012,1,Homicide,0,M,55.0,White,100,Other unspecified,2.0
2012,1,Suicide,0,M,66.0,White,100,Home,2.0
2012,1,Suicide,0,M,52.0,White,100,Other unspecified,2.0
2012,1,Suicide,0,M,63.0,White,100,Home,3.0
2012,1,Suicide,0,M,40.0,White,100,Home,4.0
2012,1,Homicide,0,M,23.0,Black,100,Other specified,1.0
2012,1,Suicide,0,M,57.0,White,100,Other unspecified,2.0
2012,1,Undetermined,0,M,81.0,White,100,Home,2.0
2012,1,Suicide,0,M,63.0,White,100,Other unspecified,4.0
2012,1,Suicide,0,M,54.0,White,100,Other unspecified,1.0
2012,1,Suicide,0,M,46.0,White,100,Other unspecified,2.0
2012,1,Homicide,0,M,52.0,White,100,Other specified,2.0
2012,1,Suicide,0,M,59.0,White,100,Home,4.0
2012,1,Suicide,0,M,31.0,Black,100,Other unspecified,3.0
2012,1,Suicide,0,M,64.0,Black,100,Home,2.0
2012,1,Suicide,0,F,36.0,White,100,Other unspecified,2.0
2012,1,Homicide,0,M,40.0,Black,100,Home,3.0
2012,1,Homicide,0,M,45.0,Hispanic,211,Home,1.0
2012,1,Suicide,0,M,47.0,White,100,Other specified,2.0
2012,1,Homicide,0,F,53.0,White,100,Home,1.0
2012,1,Suicide,0,M,55.0,White,100,Other specified,4.0
2012,1,Homicide,0,M,26.0,Black,100,Street,1.0
2012,1,Homicide,0,M,28.0,White,100,Home,1.0
2012,1,Homicide,0,M,25.0,White,100,Home,1.0
2012,1,Homicide,0,M,68.0,Black,100,Home,3.0
2012,1,Suicide,0,M,49.0,Black,100,Other unspecified,4.0
2012,1,Homicide,0,F,48.0,Black,100,Other unspecified,4.0
2012,1,Suicide,0,M,68.0,Black,100,Other unspecified,3.0
2012,1,Undetermined,0,M,45.0,White,100,Home,2.0
2012,1,Homicide,0,M,47.0,White,100,Home,4.0
2012,1,Suicide,0,M,37.0,Black,100,Home,2.0
2012,1,Homicide,0,M,62.0,White,100,Trade/service area,1.0
2012,1,Suicide,0,M,60.0,White,100,Other unspecified,2.0
2012,1,Suicide,0,F,53.0,White,100,Home,3.0
2012,1,Homicide,0,M,36.0,Black,100,Street,1.0
2012,1,Homicide,0,F,41.0,White,100,Other unspecified,4.0
2012,1,Suicide,0,M,25.0,White,100,Home,3.0
