LotArea,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,MoSold,YrSold,SalePrice,BldgType_1Fam,BldgType_2FamDuplexTwnhs,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_Missing,Siding_AsbShng,Siding_AsphShn,Siding_BrkComm,Siding_BrkFace,Siding_CBlock,Siding_CemntBd,Siding_HdBoard,Siding_ImStucc,Siding_MetalSd,Siding_Plywood,Siding_Stone,Siding_Stucco,Siding_VinylSd,Siding_Wd Sdng,Siding_WdShing
8450,2003,2003,196,856,1,856,854,1710,1,0,2,1,3,1,8,0,2003,2,548,2,2008,208500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9600,1976,1976,0,1262,1,1262,0,1262,0,1,2,0,3,1,6,1,1976,2,460,5,2007,181500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11250,2001,2002,162,920,1,920,866,1786,1,0,2,1,3,1,6,1,2001,2,608,9,2008,223500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9550,1915,1970,0,756,1,961,756,1717,1,0,1,0,3,1,7,1,1998,3,642,2,2006,140000,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14260,2000,2000,350,1145,1,1145,1053,2198,1,0,2,1,4,1,9,1,2000,3,836,12,2008,250000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14115,1993,1995,0,796,1,796,566,1362,1,0,1,1,1,1,5,0,1993,2,480,10,2009,143000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10084,2004,2005,186,1686,1,1694,0,1694,1,0,2,0,3,1,7,1,2004,2,636,8,2007,307000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10382,1973,1973,240,1107,1,1107,983,2090,1,0,2,1,3,1,7,2,1973,2,484,11,2009,200000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6120,1931,1950,0,952,1,1022,752,1774,0,0,2,0,2,2,8,2,1931,2,468,4,2008,129900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7420,1939,1950,0,991,1,1077,0,1077,1,0,1,0,2,2,5,2,1939,1,205,1,2008,118000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
